MUSTERI_ARIZA	ALTYAPI	SANTRAL_MESAFESI	ATTENUATION_DOWN	NOISE_MARGIN_UP	HIZMET_KALITESI
0	1	785	18	13	1
0	2	103	5	29	1
0	1	469	19	12	0,933
0	1	825	21	21	0,75
0	2	379	13	19	1
0	1	1020	16	18	1
0	2	930	15	20	0,931
0	1	1261	29	16	0,574
0	1	1261	27	19	1
0	2	298	9	25	1
0	1	549	10	18	0,784
0	1	1184	27	20	0,625
0	3	3	6	14	0,156
0	2	369	11	16	0,954
0	1	1189	21	11	1
0	1	460	17	24	1
0	1	1101	24	17	0,774
0	1	451	7	21	0,948
0	1	1086	26	19	0,5
0	1	1136	21	23	0,731
0	1	1174	22	12	1
0	3	10	2	34	1
0	2	370	6	21	1
0	1	497	11	13	1
0	1	758	19	19	0,875
0	2	118	10	29	1
0	3	7	4	8	1
0	2	363	5	27	1
0	1	1034	20	12	0,823
0	1	378	11	14	1
0	2	39	7	27	1
0	1	1268	29	10	0,832
0	1	976	29	8	0,608
0	1	520	18	12	0,783
0	1	1170	23	17	0,728
0	1	511	17	5	1
0	3	47	4	22	1
0	2	65	7	23	1
0	1	1122	22	13	0,861
0	2	588	16	11	1
0	2	1077	23	14	1
0	2	45	4	15	1
0	1	300	13	12	1
0	2	114	12	8	1
0	1	696	22	15	1
0	1	1301	23	8	0,766
0	2	83	3	17	1
0	2	251	9	10	1
0	2	400	11	23	1
0	1	792	16	10	0,901
0	1	1059	22	10	0,743
0	2	258	3	31	1
0	2	274	4	15	1
0	1	997	20	8	1
0	1	373	11	19	1
0	1	279	15	15	1
0	1	1065	24	18	1
0	1	1293	21	12	0,874
0	1	605	17	14	0,911
0	1	864	18	19	0,75
0	1	605	20	8	0,999
0	2	210	10	11	1
0	1	1121	20	20	0,875
0	1	785	17	16	0,75
0	1	858	17	9	0,781
0	2	430	15	7	0,588
0	2	220	6	15	1
0	1	997	20	24	0,5
0	2	472	11	27	0,919
0	1	1185	26	17	0,25
0	2	323	11	16	1
0	2	556	20	9	1
0	2	309	15	8	1
0	2	522	16	16	1
0	2	372	22	9	0,198
0	2	475	11	17	1
0	1	467	15	14	1
0	2	35	3	22	1
0	2	712	17	10	0,733
0	1	1043	20	13	0,677
0	2	195	35	3	1
0	1	362	16	16	1
0	2	103	5	20	1
0	1	784	16	28	0,998
0	2	50	12	17	0,999
0	2	57	5	20	1
0	1	870	20	17	0,75
0	2	30	2	19	1
0	1	1173	17	10	0,914
0	2	549	16	16	1
0	2	607	20	8	0,651
0	1	740	15	12	1
0	2	22	7	33	1
0	1	633	16	18	1
0	2	70	7	24	1
0	1	727	20	8	1
0	1	1219	23	18	0,5
0	2	441	5	9	1
0	1	920	18	21	1
0	2	186	3	18	1
0	2	70	8	23	1
0	2	364	13	12	1
0	2	270	13	16	1
0	1	929	18	12	1
0	2	128	14	9	1
0	1	587	20	11	1
0	2	833	18	10	1
0	2	1163	24	18	0,75
1	1	1387	17	10	0,862
1	1	1147	19	10	0,783
0	1	1464	25	12	0,847
0	2	264	6	27	1
0	3	5	4	31	1
0	1	894	14	14	0,816
1	2	131	8	30	1
1	1	1587	25	18	0,75
0	2	110	11	16	1
0	2	118	6	30	1
1	1	933	30	20	0,875
0	1	461	12	14	0,457
0	2	480	11	18	1
0	2	55	5	29	1
0	1	856	20	12	0,958
0	3	42	4	23	1
0	2	518	16	19	1
0	2	268	14	21	1
0	2	39	6	15	0,999
0	1	983	13	11	1
0	1	808	19	18	0,625
0	1	567	18	14	1
0	3	8	10	9	1
0	1	812	16	10	0,879
0	1	295	17	13	1
0	2	213	9	13	1
0	2	253	3	8	1
0	3	7	1	31	1
0	1	1101	21	19	0,625
0	2	349	7	19	1
0	3	2	5	29	1
0	1	743	17	8	0,5
0	1	1356	23	20	1
0	2	174	6	27	1
0	1	984	21	8	0,856
0	2	331	2	21	1
0	2	781	17	8	0,429
0	1	587	15	14	1
0	1	961	13	19	0,75
0	2	798	17	19	0,625
0	2	742	23	7	0,999
0	2	430	12	23	0,999
0	1	1107	23	17	0,562
